UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,UserName,UserAge,UserGender,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherName,Expertise,YearsOfExperience,TeacherRating,Year,Month
U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,morrisonamanda,33,Female,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Kimberly Miller,Cybersecurity,24,4.58,2025,10
U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,morrisonamanda,33,Female,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,Kimberly Miller,Cybersecurity,24,4.58,2025,1
U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,morrisonamanda,33,Female,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Kimberly Miller,Cybersecurity,24,4.58,2025,3
U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,fthornton,23,Female,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,Kimberly Miller,Cybersecurity,24,4.58,2025,6
U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,fthornton,23,Female,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Yolanda Levine,Machine Learning,21,4.97,2025,8
U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,fthornton,23,Female,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,Yolanda Levine,Machine Learning,21,4.97,2025,10
U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,fthornton,23,Female,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,Yolanda Levine,Machine Learning,21,4.97,2025,5
U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,fthornton,23,Female,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,Kimberly Miller,Cybersecurity,24,4.58,2025,5
U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,cherrykathleen,33,Female,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,Kimberly Miller,Cybersecurity,24,4.58,2025,10
U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,cherrykathleen,33,Female,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Kimberly Miller,Cybersecurity,24,4.58,2025,9
U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,cherrykathleen,33,Female,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Yolanda Levine,Machine Learning,21,4.97,2025,11
U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,cherrykathleen,33,Female,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,Yolanda Levine,Machine Learning,21,4.97,2025,1
U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,cherrykathleen,33,Female,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Yolanda Levine,Machine Learning,21,4.97,2025,8
U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,tbaker,27,Female,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,Kimberly Miller,Cybersecurity,24,4.58,2025,4
U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,tbaker,27,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,Kimberly Miller,Cybersecurity,24,4.58,2025,2
U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,tbaker,27,Female,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,Kimberly Miller,Cybersecurity,24,4.58,2025,12
U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,tbaker,27,Female,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Yolanda Levine,Machine Learning,21,4.97,2025,7
U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,nicole97,24,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,Kimberly Miller,Cybersecurity,24,4.58,2025,5
