UserID,TotalCourses,AvgSpend,DiversityScore,AvgRating,AvgDuration,AdvancedCourses,UserAge,UserGender,Cluster
U00001,1,394.26,1,1.35,47.44,,15,0,1
U00002,1,0.0,1,2.88,45.13,,29,1,2
U00003,11,55.81636363636364,7,2.889090909090909,22.73,4.0,33,1,2
U00004,13,75.54230769230769,8,3.4515384615384614,24.13,3.0,23,1,0
U00005,2,173.355,2,2.0549999999999997,24.275000000000002,1.0,21,0,0
U00006,1,0.78,1,3.89,44.96,1.0,21,0,2
U00007,1,0.0,1,1.91,26.52,,24,0,2
U00008,1,0.0,1,4.1,34.83,,33,1,2
U00009,1,276.37,1,2.72,48.84,1.0,20,1,3
U00010,2,163.01,2,3.165,27.005000000000003,,34,1,0
U00011,2,149.785,2,3.205,44.195,1.0,15,1,0
U00012,2,163.995,2,1.5150000000000001,7.5,1.0,15,1,0
U00013,14,102.3092857142857,8,2.869285714285714,23.25857142857143,5.0,33,1,0
U00014,1,0.0,1,1.81,9.3,1.0,30,0,2
U00015,14,145.36142857142858,10,2.7607142857142857,25.027142857142856,3.0,27,1,0
U00016,1,0.0,1,4.79,29.37,1.0,32,0,2
U00017,3,321.06,3,4.6499999999999995,8.166666666666666,,24,0,3
U00018,16,91.751875,9,3.1081250000000002,24.73375,4.0,24,1,0
U00019,1,0.0,1,4.51,48.19,,24,1,2
U00020,1,0.0,1,2.88,45.13,,27,1,2
U00021,2,88.67,2,3.135,33.235,2.0,15,0,0
U00022,1,0.0,1,4.68,15.75,,31,0,2
U00023,1,0.0,1,4.51,48.19,,32,0,2
U00024,1,0.0,1,3.93,48.25,,18,1,2
U00025,4,29.76,4,2.605,23.96,2.0,34,0,2
U00026,1,327.99,1,1.51,12.13,,19,0,3
U00027,2,0.0,2,2.915,25.335,1.0,31,0,2
U00028,12,84.38833333333334,9,3.015,17.774166666666666,4.0,30,1,0
U00029,1,326.02,1,2.69,11.31,,30,0,3
U00030,1,0.0,1,3.45,33.93,,34,0,2
U00031,1,0.0,1,2.2,40.76,,30,0,2
U00032,1,285.05,1,1.96,34.78,,18,0,3
U00033,1,276.37,1,2.72,48.84,1.0,25,0,3
U00034,2,124.05,2,2.67,20.585,,32,1,0
U00035,1,0.78,1,3.89,44.96,1.0,32,0,2
U00036,1,0.0,1,3.85,19.53,,24,1,2
U00037,2,0.0,2,1.9849999999999999,11.549999999999999,2.0,31,1,2
U00038,1,0.0,1,3.93,48.25,,35,0,2
U00039,1,346.71,1,1.23,3.42,1.0,16,1,3
U00040,1,0.0,1,3.85,19.53,,15,0,2
U00041,2,163.01,2,3.5650000000000004,6.385,,19,1,0
U00042,1,89.59,1,2.68,1.55,,32,0,0
U00043,1,327.99,1,1.51,12.13,,31,0,3
U00044,1,299.57,1,3.74,48.32,,19,0,3
U00045,14,86.41357142857143,9,3.375,28.66714285714286,3.0,23,1,0
U00046,2,0.0,2,1.325,9.6,1.0,29,1,2
U00047,1,0.0,1,3.6,1.2,,34,0,2
U00048,13,27.45307692307692,9,3.329230769230769,30.903846153846153,4.0,19,0,2
U00049,1,0.0,1,3.45,33.93,,32,0,2
U00050,1,0.0,1,2.61,48.68,1.0,33,0,2
U00051,1,0.0,1,4.51,48.19,,32,1,2
U00052,1,0.78,1,3.89,44.96,1.0,25,1,2
U00053,1,53.86,1,2.47,47.08,,34,1,2
U00054,1,490.9,1,4.55,7.55,,22,1,1
U00055,16,90.515625,9,3.055625,27.085,9.0,31,1,0
U00056,2,0.0,2,2.745,46.905,1.0,22,1,2
U00057,1,487.92,1,3.64,36.01,1.0,18,0,1
U00058,1,117.68,1,2.57,48.09,1.0,30,1,0
U00059,1,0.0,1,4.51,48.19,,32,0,2
U00060,4,13.465,3,3.515,36.035,,26,0,2
U00061,1,0.0,1,1.91,26.52,,32,1,2
U00062,1,0.0,1,3.85,19.53,,28,1,2
U00063,2,149.785,2,3.31,46.725,,34,1,0
U00064,1,276.37,1,2.72,48.84,1.0,33,1,3
U00065,1,0.0,1,2.67,40.07,1.0,29,0,2
U00066,1,327.99,1,1.51,12.13,,26,1,3
U00067,1,119.04,1,2.75,23.41,,28,1,0
U00068,1,0.0,1,3.45,33.93,,32,0,2
U00069,2,0.0,2,3.67,48.19,1.0,27,1,2
U00070,2,0.0,2,4.6899999999999995,24.315,,25,1,2
U00071,14,45.85285714285715,8,2.777857142857143,30.282857142857146,4.0,30,1,2
U00072,1,326.02,1,2.69,11.31,,17,1,3
U00073,1,0.78,1,3.89,44.96,1.0,16,0,2
U00074,3,321.06,2,3.5233333333333334,15.743333333333334,,19,0,3
U00075,1,0.0,1,4.45,15.29,1.0,22,0,2
U00076,4,118.07,4,3.0949999999999998,22.84,1.0,34,0,0
U00077,1,0.0,1,4.11,46.25,,20,0,2
U00078,1,0.0,1,4.11,46.25,,32,1,2
U00079,1,0.0,1,4.94,42.59,,28,0,2
U00080,1,0.0,1,2.88,45.13,,35,1,2
U00081,1,0.0,1,1.52,2.87,1.0,18,1,2
U00082,1,0.0,1,4.68,15.75,,31,0,2
U00083,15,110.75333333333333,9,2.9953333333333334,30.103333333333335,4.0,16,0,0
U00084,1,327.99,1,1.51,12.13,,20,0,3
U00085,13,88.39384615384614,7,2.9084615384615384,33.31153846153846,3.0,22,1,0
U00086,4,13.465,4,2.47,29.655,2.0,27,1,2
